5,5000,0.502191,7.56942e-06,0.00275126,0.0843446,0.000715043
6,6000,0.498147,3.37723e-05,0.0058114,0.0828975,0.00140676
7,7000,0.505243,2.1709e-05,0.00465929,0.0841943,0.000732736
8,8000,0.497268,1.72218e-05,0.00414992,0.0828884,0.00112939
9,9000,0.499172,6.08316e-06,0.00246641,0.083836,0.000745753
10,10000,0.503815,6.10213e-06,0.00247025,0.0830797,0.000529557
11,11000,0.502452,5.81432e-06,0.00241129,0.0841195,0.000678786
12,12000,0.506795,8.6909e-06,0.00294803,0.0841257,0.000693584
13,13000,0.499533,9.18031e-06,0.0030299,0.0835583,0.000422109
14,14000,0.498182,5.59072e-06,0.00236447,0.0828848,0.000656676
15,15000,0.500674,9.05109e-06,0.0030085,0.0827399,0.000476354
16,16000,0.49996,7.39064e-06,0.00271857,0.0833212,0.000541088
17,17000,0.502754,5.57322e-06,0.00236077,0.0833831,0.000666104
18,18000,0.496573,3.41866e-06,0.00184896,0.0842071,0.000424573
19,19000,0.499779,4.55389e-06,0.00213398,0.0830119,0.000499765
20,20000,0.502769,2.82848e-06,0.00168181,0.0838871,0.0005239
21,21000,0.499948,5.02529e-06,0.00224172,0.0837683,0.000527242
22,22000,0.499479,3.81561e-06,0.00195336,0.084012,0.000515868
23,23000,0.503331,3.0851e-06,0.00175645,0.0830721,0.000561074
24,24000,0.505016,5.14694e-06,0.00226869,0.083827,0.00041908
25,25000,0.499711,4.99592e-06,0.00223515,0.08326,0.000548843
26,26000,0.497307,2.10482e-06,0.0014508,0.0834041,0.000452045
27,27000,0.499994,1.98784e-06,0.00140991,0.0833197,0.000461371
28,28000,0.504038,3.6081e-06,0.0018995,0.0826003,0.000488327
29,29000,0.500674,2.17e-06,0.00147309,0.0831981,0.000465452
30,30000,0.500342,2.7814e-06,0.00166775,0.0834303,0.000440996
31,31000,0.49483,2.99131e-06,0.00172954,0.0827969,0.000413252
32,32000,0.500921,2.77343e-06,0.00166536,0.0834718,0.000406557
33,33000,0.499118,1.68151e-06,0.00129673,0.0833317,0.000401905
34,34000,0.500468,2.15376e-06,0.00146757,0.0837863,0.000362925
35,35000,0.49843,2.80167e-06,0.00167382,0.0831434,0.000369121
36,36000,0.497914,1.50444e-06,0.00122655,0.0835052,0.000336374
37,37000,0.500552,1.95268e-06,0.00139738,0.0834984,0.000407973
38,38000,0.501903,1.87023e-06,0.00136756,0.0827795,0.000396486
39,39000,0.500005,1.19561e-06,0.00109344,0.0839647,0.000364581
40,40000,0.499501,2.72142e-06,0.00164967,0.0828075,0.000333256
41,41000,0.496894,2.34784e-06,0.00153227,0.0832929,0.000343623
42,42000,0.499891,1.25355e-06,0.00111962,0.0841214,0.000347979
